"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","288.849561488187","200.2962762701244","4.804388478637297","-0.31122742580861","0.006899999999999906","0.008399999999999963","0.0054","1216","0.00022819259338798008","0","0.00022819259338798008","0.00022819259338798008","10_11:0.004147146364382098;10_9:0.005741599924370261","10_11:533.3333333333333;10_9:533.3333333333333","true"
"11","388.0602777812009","74.88920971918478","4.743312140873306","-0.31179417408967897","0.008399999999999963","0.0096","0.007199999999999984","1216","0.0001871635942181699","0","0.0001871635942181699","0.0001871635942181699","11_12:0.0032546583427017495","11_12:533.3333333333333","true"
"12","282.6308669387062","244.46643530668234","4.6259367630497845","-0.31372359565205904","0.023700000000000054","0.02639999999999998","0.021","1216","0.00015772824282578811","0","0.00015772824282578811","0.00015772824282578811","12_13:0.014106742549134021","12_13:533.3333333333333","true"
"13","217.94350289344828","76.5398398627118","4.556976802504636","-0.31377871528415735","0.03410000000000002","0.037","0.031200000000000006","1216","0.00034748241414985415","0","0.00034748241414985415","0.00034748241414985415","","","true"
"14","295.32189402266863","73.63071695252705","4.510048501832088","-0.3157712274724498","0.02100000000000002","0.030000000000000027","0.012","1216","0.00043649148609578613","0","0.00043649148609578613","0.00043649148609578613","14_0:0.0070810830475895314;14_18:0.008697128374578394","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","473.609103104526","417.88222338402335","4.599052211585765","-0.32044986829453664","0.08820000000000006","0.0938","0.0826","1216","0.00014047172676540437","0","0.00014047172676540437","0.00014047172676540437","","","true"
"16","247.7388021686174","21.493470001882834","4.937433915435484","-0.3088315131283205","0.06769999999999998","0.0488","0.08660000000000001","1216","0.0010532323576465195","0","0.0010532323576465195","0.0010532323576465195","16_8:0.026866566990572965","16_8:533.3333333333333","true"
"17","413.221488444754","79.55256877430114","4.752796046027558","-0.31153154230934604","0.016100000000000003","0.021199999999999997","0.011","1216","0.000492310689801169","0","0.000492310689801169","0.000492310689801169","17_12:0.003200846969264204;17_30:0.005407915240607519","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","247.9637990310882","21.915668341471495","4.659441383854667","-0.2892599847835004","0.06489999999999996","0.05159999999999998","0.0782","1216","0.0003136320820057682","0","0.0003136320820057682","0.0003136320820057682","18_19:0.025671132489288012","18_19:533.3333333333333","true"
"19","562.6720517988625","37.94769382321593","4.820724754835776","-0.31198328628677313","0.03390000000000004","0.04400000000000004","0.0238","1216","0.00044416814002829586","0","0.00044416814002829586","0.00044416814002829586","19_20:0.007013103426094985","19_20:533.3333333333333","true"
"20","500.5298433824428","82.78492189025297","4.738281537383697","-0.3119696404967832","0.052999999999999936","0.05579999999999996","0.0502","1216","0.0002364943642197353","0","0.0002364943642197353","0.0002364943642197353","20_33:0.010433517698941075","20_33:533.3333333333333","true"
"21","164.58382840221321","28.311385581434536","4.773884418536997","-0.3114254225761893","0.09409999999999996","0.09319999999999995","0.095","1216","0.0004073966897562055","0","0.0004073966897562055","0.0004073966897562055","21_22:0.007985442088493111;21_20:0.024948382508214878","21_22:803.5555555555555;21_20:533.3333333333333","true"
"22","404.3587811375273","265.5760895435883","4.668485116083367","-0.31331663183442576","0.029000000000000026","0.029000000000000026","0.029","1216","0.00014491253475611422","0","0.00014491253475611422","0.00014491253475611422","22_15:0.04485577915478295","22_15:590.2222222222222","true"
"23","220.72953031548266","24.846726094297132","4.75809372458223","-0.31173856129806604","0.008900000000000019","0.008600000000000052","0.0092","1216","0.00037388006907030014","0","0.00037388006907030014","0.00037388006907030014","23_24:0.018509298236853544;23_22:0.010816669628229886","23_24:533.3333333333333;23_22:533.3333333333333","true"
"24","110.37901830346307","18.63302988913294","4.611448454806462","-0.31354982608399573","0.031000000000000028","0.028200000000000003","0.0338","1216","0.0004998940874336063","0","0.0004998940874336063","0.0004998940874336063","","","true"
"25","230.6916754992174","288.9396739670641","4.731645269835475","-0.3122550841543125","0.021100000000000008","0.022199999999999998","0.02","1216","0.00014532456209006","0","0.00014532456209006","0.00014532456209006","25_24:0.008802085778306878","25_24:533.3333333333333","true"
"26","332.0681605382789","125.7161552544901","4.777297396817984","-0.31228117808626144","0.005199999999999982","0.0050000000000000044","0.0054","1216","0.00018943701185605822","0","0.00018943701185605822","0.00018943701185605822","26_25:0.004538848835797221;26_16:0.016526128424034697;26_27:0.005011451233301933","26_25:533.3333333333333;26_16:533.3333333333333;26_27:533.3333333333333","true"
"27","365.7000148242047","125.33836153815115","4.6803602306776435","-0.31282791406798793","0.006800000000000028","0.00880000000000003","0.0048","1216","0.00024789843497690034","0","0.00024789843497690034","0.00024789843497690034","","","true"
"28","213.7420009896338","77.61244793640947","4.743985018623886","-0.27186381179166696","0.03400000000000003","0.03059999999999996","0.0374","1216","0.0017207521984379777","0","0.0017207521984379777","0.0017207521984379777","28_27:0.008017478608528639","28_27:533.3333333333333","true"
"29","282.22741881763926","163.14778449888516","4.791732162124575","-0.32426284330226407","0.009200000000000097","0.011600000000000055","0.0068","1216","0.00018379649191587743","0","0.00018379649191587743","0.00018379649191587743","29_30:0.011749130300525185;29_28:0.020417893407359","29_30:533.3333333333333;29_28:533.3333333333333","true"
"30","344.67992955462785","289.28622170392316","4.692900290899958","-0.3126801438234927","0.013900000000000023","0.019399999999999973","0.0084","1216","0.00040108635457241704","0","0.00040108635457241704","0.00040108635457241704","","","true"
"31","247.69772587649072","39.07258723659751","5.057529083520848","-0.3070059221402992","0.00990000000000002","0.0142","0.005600000000000049","1216","0.00044282037161650186","0","0.00044282037161650186","0.00044282037161650186","31_30:0.014007417284705198;31_32:0.004275311598246456","31_30:533.3333333333333;31_32:533.3333333333333","true"
"32","326.7628085746976","251.83970143779604","4.929968620604567","-0.30828223495463736","0.027700000000000058","0.029000000000000026","0.0264","1216","0.00012309855715095008","0","0.00012309855715095008","0.00012309855715095008","32_36:0.00533011269783179","32_36:533.3333333333333","true"
"33","393.34357545025756","391.6459184032027","4.677511905656563","-0.3137282279838826","0.009500000000000064","0.01200000000000001","0.007","1216","0.00028407091862730675","0","0.00028407091862730675","0.00028407091862730675","33_39:0.006511606529622321","33_39:533.3333333333333","true"
"34","181.42045423786772","52.926408371471034","4.710723329034998","-0.28769666514137593","0.11460000000000004","0.0696","0.1596","1216","0.0006871824117592716","0","0.0006871824117592716","0.0006871824117592716","34_24:0.013334361161842195","34_24:533.3333333333333","true"
"35","226.88818184314306","57.78488669552036","4.9145274034418005","-0.30919638014483275","0.0121","0.015199999999999991","0.009","1216","0.00030256750597899645","0","0.00030256750597899645","0.00030256750597899645","35_47:0.005193218212100975;35_28:0.011470529676752883","35_47:533.3333333333333;35_28:533.3333333333333","true"
"36","304.2373463600709","69.30858184446352","4.853991940588241","-0.31028310857915326","0.005300000000000082","0.0048","0.005800000000000027","1216","0.00011646379801772287","0","0.00011646379801772287","0.00011646379801772287","36_51:0.003959529733367523","36_51:533.3333333333333","true"
"37","473.9901567849953","50.51646213121343","4.593861816994554","-0.315389846608389","0.02980000000000005","0.0322","0.02739999999999998","1216","0.006402580808853626","0","0.006402580808853626","0.006402580808853626","37_38:0.009968929720266362","37_38:533.3333333333333","true"
